county,state,estimate_2010,estimate_2011,estimate_2012,estimate_2013,estimate_2014,estimate_2015
Autauga County,Alabama,54660,55253,55175,55038,55290,55347
Baldwin County,Alabama,183193,186659,190396,195126,199713,203709
Barbour County,Alabama,27341,27226,27159,26973,26815,26489
Bibb County,Alabama,22861,22733,22642,22512,22549,22583
Blount County,Alabama,57373,57711,57776,57734,57658,57673
Bullock County,Alabama,10887,10629,10606,10628,10829,10696
Butler County,Alabama,20944,20673,20408,20261,20276,20154
Calhoun County,Alabama,118437,117768,117286,116575,115993,115620
Chambers County,Alabama,34098,33993,34075,34153,34052,34123
Cherokee County,Alabama,25976,26080,26023,26084,25995,25859
Chilton County,Alabama,43665,43739,43697,43795,43921,43943
Choctaw County,Alabama,13841,13593,13543,13378,13289,13170
Clarke County,Alabama,25767,25570,25144,25116,24847,24675
Clay County,Alabama,13880,13670,13456,13467,13538,13555
Cleburne County,Alabama,14973,14971,14921,15028,15072,15018
Coffee County,Alabama,50177,50448,51173,50755,50831,51211
Colbert County,Alabama,54514,54443,54472,54471,54480,54354
Conecuh County,Alabama,13208,13121,12996,12875,12662,12672
Coosa County,Alabama,11758,11348,11195,11059,10807,10724
Covington County,Alabama,37796,38060,37818,37830,37888,37835
Crenshaw County,Alabama,13853,13896,13951,13932,13948,13963
Cullman County,Alabama,80473,80469,80374,80756,81221,82005
Dale County,Alabama,50358,50109,50324,49833,49501,49565
Dallas County,Alabama,43803,43178,42777,42021,41662,41131
DeKalb County,Alabama,71142,71387,70942,70869,71012,71130
Elmore County,Alabama,79465,80012,80432,80883,81022,81468
Escambia County,Alabama,38309,38213,38034,37857,37784,37789
Etowah County,Alabama,104442,104236,104235,103852,103452,103057
Fayette County,Alabama,17231,17062,16960,16857,16842,16759
Franklin County,Alabama,31734,31729,31648,31507,31592,31696
Geneva County,Alabama,26795,26832,27006,26752,26707,26777
Greene County,Alabama,9001,8910,8835,8706,8553,8479
Hale County,Alabama,15735,15364,15401,15316,15131,15068
Henry County,Alabama,17292,17407,17249,17206,17176,17221
Houston County,Alabama,101783,102422,103355,103610,104110,104173
Jackson County,Alabama,53179,53264,53064,52921,52631,52419
Jefferson County,Alabama,658116,657779,657704,658913,660368,660367
Lamar County,Alabama,14495,14292,14252,14187,14050,13886
Lauderdale County,Alabama,92747,92618,92680,92729,93063,92596
Lawrence County,Alabama,34305,34045,33776,33567,33426,33115
Lee County,Alabama,140782,144087,147899,151506,154426,156993
Limestone County,Alabama,83163,85557,87321,88870,90612,91663
Lowndes County,Alabama,11275,11119,10852,10725,10555,10458
Macon County,Alabama,21545,21269,20479,19852,19387,19105
Madison County,Alabama,336138,339574,342696,346720,350112,353089
Marengo County,Alabama,20942,20708,20449,20210,20136,20028
Marion County,Alabama,30800,30727,30515,30278,30246,30168
Marshall County,Alabama,93146,93906,94228,94377,94356,94725
Mobile County,Alabama,413332,413062,413750,414121,414926,415395
Monroe County,Alabama,22982,22776,22585,22154,21897,21673
Montgomery County,Alabama,229723,231496,229286,227000,226389,226519
Morgan County,Alabama,119603,119945,120112,119654,119656,119565
Perry County,Alabama,10540,10510,10180,9993,9855,9652
Pickens County,Alabama,19716,19359,19355,19365,20339,20864
Pike County,Alabama,32957,32903,33105,33630,33090,33046
Randolph County,Alabama,22891,22802,22628,22630,22486,22696
Russell County,Alabama,53297,54869,57771,59497,59712,59660
St. Clair County,Alabama,83812,84317,85160,86210,86561,87074
Shelby County,Alabama,196048,197985,200830,203925,206199,208713
Sumter County,Alabama,13740,13508,13451,13402,13243,13103
Talladega County,Alabama,82071,81821,81931,81314,81258,80862
Tallapoosa County,Alabama,41502,41453,41163,41191,41112,40844
Tuscaloosa County,Alabama,194977,196638,198543,200615,202519,203976
Walker County,Alabama,67004,66641,66184,65929,65567,65294
Washington County,Alabama,17610,17336,17115,16869,16863,16804
Wilcox County,Alabama,11557,11488,11365,11210,11052,11059
Winston County,Alabama,24401,24340,24176,24154,24101,23877
Aleutians East Borough,Alaska,3169,3254,3292,3314,3317,3341
Aleutians West Census Area,Alaska,5546,5588,5678,5699,5751,5702
Anchorage Municipality,Alaska,293405,296333,298613,301537,300357,298695
Bethel Census Area,Alaska,17080,17459,17691,17862,17923,17946
Bristol Bay Borough,Alaska,1002,1038,984,954,946,892
Denali Borough,Alaska,1837,1873,1904,1934,1903,1919
Dillingham Census Area,Alaska,4856,4957,4957,4991,4994,4997
Fairbanks North Star Borough,Alaska,98289,98146,100370,101007,99371,99631
Haines Borough,Alaska,2501,2569,2570,2563,2566,2534
Hoonah-Angoon Census Area,Alaska,2147,2125,2144,2142,2091,2133
Juneau City and Borough,Alaska,31388,32186,32443,32645,32625,32756
Kenai Peninsula Borough,Alaska,55573,56375,56961,57070,57638,58059
Ketchikan Gateway Borough,Alaska,13525,13635,13699,13673,13781,13709
Kodiak Island Borough,Alaska,13651,13807,14067,14097,14007,13889
Kusilvak Census Area,Alaska,7464,7654,7790,7952,8053,8119
Lake and Peninsula Borough,Alaska,1637,1655,1643,1652,1629,1563
Matanuska-Susitna Borough,Alaska,89761,91841,93791,95877,98285,101095
Nome Census Area,Alaska,9536,9834,9869,9888,9833,9846
North Slope Borough,Alaska,9468,9533,9661,9739,9713,9687
Northwest Arctic Borough,Alaska,7545,7723,7722,7716,7748,7752
Petersburg Borough,Alaska,3217,3244,3258,3241,3184,3177
Prince of Wales-Hyder Census Area,Alaska,6212,6377,6383,6396,6384,6341
Sitka City and Borough,Alaska,8898,8914,9054,9003,8881,8863
Skagway Municipality,Alaska,965,958,991,1010,1038,1057
Southeast Fairbanks Census Area,Alaska,7070,7144,7181,7004,6978,6839
Valdez-Cordova Census Area,Alaska,9659,9731,9727,9771,9493,9362
Wrangell City and Borough,Alaska,2370,2385,2401,2408,2360,2382
Yakutat City and Borough,Alaska,662,651,653,636,634,613
Yukon-Koyukuk Census Area,Alaska,5588,5731,5731,5661,5563,5533
Apache County,Arizona,71766,72387,72946,71953,71858,71474
Cochise County,Arizona,131809,132996,131888,129605,127321,126427
Coconino County,Arizona,134626,134182,135978,136612,137637,139097
Gila County,Arizona,53544,53473,53031,53025,53139,53159
Graham County,Arizona,37137,37081,36946,37386,37958,37666
Greenlee County,Arizona,8339,8589,8768,8908,9323,9529
La Paz County,Arizona,20446,20479,20351,20377,20314,20152
Maricopa County,Arizona,3825597,3871957,3945460,4015328,4090022,4167947
Mohave County,Arizona,200374,202671,203232,202839,203331,204737
Navajo County,Arizona,107715,107429,107033,107424,108119,108277
Pima County,Arizona,981870,988024,992973,997418,1004244,1010025
Pinal County,Arizona,379384,378044,382349,385360,396521,406584
Santa Cruz County,Arizona,47410,47657,47464,47120,46661,46461
Yavapai County,Arizona,211122,211135,212468,215271,218852,222255
Yuma County,Arizona,197069,202628,202375,202173,203483,204275
Arkansas County,Arkansas,19014,18883,18984,18791,18564,18433
Ashley County,Arkansas,21831,21651,21491,21238,20926,20838
Baxter County,Arkansas,41538,41273,41066,40965,40842,41053
Benton County,Arkansas,223010,227899,232973,237580,242868,249672
Boone County,Arkansas,36897,37045,37328,37387,37152,37222
Bradley County,Arkansas,11486,11450,11280,11145,11061,11094
Calhoun County,Arkansas,5338,5286,5306,5214,5188,5229
Carroll County,Arkansas,27544,27449,27575,27725,27722,27704
Chicot County,Arkansas,11793,11680,11479,11360,11217,11027
Clark County,Arkansas,22947,22944,22811,22666,22699,22633
Clay County,Arkansas,16050,15829,15573,15312,15176,15109
Cleburne County,Arkansas,25999,25924,25807,25695,25664,25467
Cleveland County,Arkansas,8686,8664,8611,8538,8424,8311
Columbia County,Arkansas,24747,24685,24427,24305,24102,24114
Conway County,Arkansas,21244,21147,21205,21151,21030,21019
Craighead County,Arkansas,96724,98390,99953,101678,102671,104354
Crawford County,Arkansas,61980,61830,61916,61622,61670,61703
Crittenden County,Arkansas,50948,50514,50050,49738,49558,48963
Cross County,Arkansas,17832,17739,17646,17479,17187,17284
Dallas County,Arkansas,8068,8080,7979,7922,7757,7604
Desha County,Arkansas,12964,12702,12562,12450,12215,11965
Drew County,Arkansas,18656,18715,18770,18708,18729,18778
Faulkner County,Arkansas,114057,116308,118566,119409,120878,121552
Franklin County,Arkansas,18128,17994,17946,17924,17766,17702
Fulton County,Arkansas,12216,12289,12248,12242,12139,12204
Garland County,Arkansas,96128,96603,96798,97006,97185,97177
Grant County,Arkansas,17890,17958,18037,18059,18115,18102
Greene County,Arkansas,42188,42733,43168,43082,43729,44196
Hempstead County,Arkansas,22602,22513,22359,22408,22317,22084
Hot Spring County,Arkansas,33128,33033,33373,33413,33333,33426
Howard County,Arkansas,13799,13819,13687,13507,13460,13300
Independence County,Arkansas,36806,36831,36937,36879,37061,37052
Izard County,Arkansas,13684,13578,13516,13374,13488,13445
Jackson County,Arkansas,18049,17848,17639,17655,17503,17338
Jefferson County,Arkansas,77323,76024,74617,73159,72377,71565
Johnson County,Arkansas,25553,25689,25901,25905,26013,26141
Lafayette County,Arkansas,7636,7541,7441,7245,7128,6996
Lawrence County,Arkansas,17501,17285,17040,17058,16985,16779
